"filename", "language", "Markdown", "x86 and x86_64 Assembly", "C++", "C", "Makefile", "Shell Script", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/README.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 16, 55
"/home/witut/Desktop/xaninOS/documentation/TODO.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 5, 12
"/home/witut/Desktop/xaninOS/documentation/disk_image.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/home/witut/Desktop/xaninOS/documentation/xanin_coding_style.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 17, 56
"/home/witut/Desktop/xaninOS/programming_libaries/xanin_asm.inc", "x86 and x86_64 Assembly", 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/witut/Desktop/xaninOS/src/.build.sh", "Shell Script", 0, 0, 0, 0, 0, -46, -7, -23, -76
"/home/witut/Desktop/xaninOS/src/IDT/idt.c", "C", 0, 0, 0, 7, 0, 0, 1, 2, 10
"/home/witut/Desktop/xaninOS/src/Makefile", "Makefile", 0, 0, 0, 0, 60, 0, -1, 23, 82
"/home/witut/Desktop/xaninOS/src/app_config.h", "C++", 0, 0, 33, 0, 0, 0, 1, 3, 37
"/home/witut/Desktop/xaninOS/src/boot/boot.asm", "x86 and x86_64 Assembly", 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/witut/Desktop/xaninOS/src/devices/COM/com.cpp", "C++", 0, 0, 61, 0, 0, 0, 0, 24, 85
"/home/witut/Desktop/xaninOS/src/devices/COM/com.hpp", "C++", 0, 0, 21, 0, 0, 0, 0, 14, 35
"/home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.cpp", "C++", 0, 0, 0, 0, 0, 0, -5, -2, -7
"/home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/witut/Desktop/xaninOS/src/devices/NIC/8254x.cpp", "C++", 0, 0, 88, 0, 0, 0, 17, 53, 158
"/home/witut/Desktop/xaninOS/src/devices/NIC/8254x.hpp", "C++", 0, 0, 126, 0, 0, 0, 1, 38, 165
"/home/witut/Desktop/xaninOS/src/devices/PCI/pci.c", "C", 0, 0, 0, 82, 0, 0, 0, 57, 139
"/home/witut/Desktop/xaninOS/src/devices/PCI/pci.h", "C++", 0, 0, 10, 0, 0, 0, 0, 13, 23
"/home/witut/Desktop/xaninOS/src/graphics/graphics.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/witut/Desktop/xaninOS/src/graphics/graphics.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/witut/Desktop/xaninOS/src/gyn_cl/gyn.c", "C", 0, 0, 0, 41, 0, 0, 4, 20, 65
"/home/witut/Desktop/xaninOS/src/gyn_cl/gyn.h", "C++", 0, 0, 8, 0, 0, 0, 0, 6, 14
"/home/witut/Desktop/xaninOS/src/handlers/handlers.c", "C", 0, 0, 0, 1, 0, 0, 2, 3, 6
"/home/witut/Desktop/xaninOS/src/handlers/handlers.h", "C++", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/witut/Desktop/xaninOS/src/kernel.c", "C", 0, 0, 0, 44, 0, 0, 16, 33, 93
"/home/witut/Desktop/xaninOS/src/lib/algorithm.h", "C++", 0, 0, -18, 0, 0, 0, 0, -7, -25
"/home/witut/Desktop/xaninOS/src/lib/alloc.h", "C++", 0, 0, -95, 0, 0, 0, -10, -40, -145
"/home/witut/Desktop/xaninOS/src/lib/assert.h", "C++", 0, 0, -11, 0, 0, 0, 0, -4, -15
"/home/witut/Desktop/xaninOS/src/lib/clock.h", "C++", 0, 0, -3, 0, 0, 0, 0, -5, -8
"/home/witut/Desktop/xaninOS/src/lib/colors.h", "C++", 0, 0, -21, 0, 0, 0, -1, -8, -30
"/home/witut/Desktop/xaninOS/src/lib/enable_sse.asm", "x86 and x86_64 Assembly", 0, -8, 0, 0, 0, 0, 0, -3, -11
"/home/witut/Desktop/xaninOS/src/lib/enter_real_mode.asm", "x86 and x86_64 Assembly", 0, -42, 0, 0, 0, 0, 0, -19, -61
"/home/witut/Desktop/xaninOS/src/lib/exit_process.h", "C++", 0, 0, -17, 0, 0, 0, 0, -5, -22
"/home/witut/Desktop/xaninOS/src/lib/hal.h", "C++", 0, 0, -135, 0, 0, 0, -2, -52, -189
"/home/witut/Desktop/xaninOS/src/lib/math.h", "C++", 0, 0, -13, 0, 0, 0, 0, -12, -25
"/home/witut/Desktop/xaninOS/src/lib/memory.h", "C++", 0, 0, -21, 0, 0, 0, 0, -9, -30
"/home/witut/Desktop/xaninOS/src/lib/parameter.h", "C++", 0, 0, -9, 0, 0, 0, 0, -5, -14
"/home/witut/Desktop/xaninOS/src/lib/signal.h", "C++", 0, 0, -21, 0, 0, 0, -1, -14, -36
"/home/witut/Desktop/xaninOS/src/lib/stdiox.h", "C", 0, 0, 0, -524, 0, 0, -7, -265, -796
"/home/witut/Desktop/xaninOS/src/lib/stdlibx.h", "C++", 0, 0, -278, 0, 0, 0, -9, -103, -390
"/home/witut/Desktop/xaninOS/src/lib/string.h", "C++", 0, 0, -257, 0, 0, 0, -30, -134, -421
"/home/witut/Desktop/xaninOS/src/lib/time.h", "C++", 0, 0, -28, 0, 0, 0, 0, -16, -44
"/home/witut/Desktop/xaninOS/src/libc/algorithm.h", "C++", 0, 0, 18, 0, 0, 0, 0, 7, 25
"/home/witut/Desktop/xaninOS/src/libc/alloc.h", "C++", 0, 0, 95, 0, 0, 0, 10, 40, 145
"/home/witut/Desktop/xaninOS/src/libc/assert.h", "C++", 0, 0, 11, 0, 0, 0, 0, 4, 15
"/home/witut/Desktop/xaninOS/src/libc/clock.h", "C++", 0, 0, 1, 0, 0, 0, 0, 2, 3
"/home/witut/Desktop/xaninOS/src/libc/colors.h", "C++", 0, 0, 21, 0, 0, 0, 1, 8, 30
"/home/witut/Desktop/xaninOS/src/libc/enable_sse.asm", "x86 and x86_64 Assembly", 0, 8, 0, 0, 0, 0, 0, 3, 11
"/home/witut/Desktop/xaninOS/src/libc/enter_real_mode.asm", "x86 and x86_64 Assembly", 0, 43, 0, 0, 0, 0, 0, 19, 62
"/home/witut/Desktop/xaninOS/src/libc/hal.h", "C++", 0, 0, 180, 0, 0, 0, 4, 61, 245
"/home/witut/Desktop/xaninOS/src/libc/math.h", "C++", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/home/witut/Desktop/xaninOS/src/libc/memory.h", "C++", 0, 0, 21, 0, 0, 0, 0, 9, 30
"/home/witut/Desktop/xaninOS/src/libc/parameter.h", "C++", 0, 0, 9, 0, 0, 0, 0, 5, 14
"/home/witut/Desktop/xaninOS/src/libc/stdiox.h", "C", 0, 0, 0, 527, 0, 0, 7, 263, 797
"/home/witut/Desktop/xaninOS/src/libc/stdlibx.h", "C++", 0, 0, 272, 0, 0, 0, 9, 100, 381
"/home/witut/Desktop/xaninOS/src/libc/string.h", "C++", 0, 0, 270, 0, 0, 0, 18, 138, 426
"/home/witut/Desktop/xaninOS/src/libc/syslog.h", "C++", 0, 0, 29, 0, 0, 0, 0, 22, 51
"/home/witut/Desktop/xaninOS/src/libc/time.h", "C++", 0, 0, 28, 0, 0, 0, 0, 16, 44
"/home/witut/Desktop/xaninOS/src/libcpp/algorithm.h", "C++", 0, 0, 29, 0, 0, 0, 0, 9, 38
"/home/witut/Desktop/xaninOS/src/libcpp/array.cpp", "C++", 0, 0, -90, 0, 0, 0, 0, -45, -135
"/home/witut/Desktop/xaninOS/src/libcpp/array.h", "C++", 0, 0, 91, 0, 0, 0, 0, 46, 137
"/home/witut/Desktop/xaninOS/src/libcpp/box.h", "C++", 0, 0, 22, 0, 0, 0, 0, 11, 33
"/home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h", "C++", 0, 0, 11, 0, 0, 0, 0, 4, 15
"/home/witut/Desktop/xaninOS/src/libcpp/ctime.h", "C++", 0, 0, -7, 0, 0, 0, 0, -1, -8
"/home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/witut/Desktop/xaninOS/src/libcpp/istream.h", "C++", 0, 0, -15, 0, 0, 0, 0, 1, -14
"/home/witut/Desktop/xaninOS/src/libcpp/iterator.h", "C++", 0, 0, 59, 0, 0, 0, 0, 24, 83
"/home/witut/Desktop/xaninOS/src/libcpp/ostream.h", "C++", 0, 0, 11, 0, 0, 0, 0, 5, 16
"/home/witut/Desktop/xaninOS/src/libcpp/stack.h", "C++", 0, 0, 36, 0, 0, 0, 0, 18, 54
"/home/witut/Desktop/xaninOS/src/libcpp/string.h", "C++", 0, 0, 33, 0, 0, 0, 22, 17, 72
"/home/witut/Desktop/xaninOS/src/libcpp/time.hpp", "C++", 0, 0, 10, 0, 0, 0, 0, 3, 13
"/home/witut/Desktop/xaninOS/src/libcpp/tuple.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/witut/Desktop/xaninOS/src/libcpp/type_traits.h", "C++", 0, 0, 9, 0, 0, 0, 1, 4, 14
"/home/witut/Desktop/xaninOS/src/libcpp/utility.h", "C++", 0, 0, 20, 0, 0, 0, 0, 7, 27
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/algorithm.h", "C++", 0, 0, 3, 0, 0, 0, 0, 3, 6
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/assert.h", "C++", 0, 0, 5, 0, 0, 0, 0, 5, 10
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/c_libary.h", "C++", 0, 0, 0, 0, 0, 0, 14, 1, 15
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/colors.h", "C++", 0, 0, 21, 0, 0, 0, 1, 9, 31
