Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 117 files,  1371 codes, 59 comments, 665 blanks, all 2095 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C++                     |         69 |        859 |         34 |        369 |      1,262 |
| C                       |         32 |        400 |         29 |        249 |        678 |
| Markdown                |          4 |         95 |          0 |         42 |        137 |
| Makefile                |          1 |         60 |         -1 |         23 |         82 |
| x86 and x86_64 Assembly |         10 |          3 |          4 |          5 |         12 |
| Shell Script            |          1 |        -46 |         -7 |        -23 |        -76 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                  |        117 |      1,371 |         59 |        665 |      2,095 |
| documentation                                                      |          3 |         56 |          0 |         26 |         82 |
| programming_libaries                                               |          1 |          6 |          0 |          3 |          9 |
| src                                                                |        112 |      1,270 |         59 |        620 |      1,949 |
| src/IDT                                                            |          1 |          7 |          1 |          2 |         10 |
| src/boot                                                           |          1 |          2 |          0 |          0 |          2 |
| src/devices                                                        |          8 |        389 |         13 |        197 |        599 |
| src/devices/COM                                                    |          2 |         82 |          0 |         38 |        120 |
| src/devices/IOAPIC                                                 |          2 |          1 |         -5 |         -2 |         -6 |
| src/devices/NIC                                                    |          2 |        214 |         18 |         91 |        323 |
| src/devices/PCI                                                    |          2 |         92 |          0 |         70 |        162 |
| src/graphics                                                       |          2 |          0 |          0 |         -2 |         -2 |
| src/gyn_cl                                                         |          2 |         49 |          4 |         26 |         79 |
| src/handlers                                                       |          2 |          2 |          2 |          4 |          8 |
| src/lib                                                            |         17 |     -1,501 |        -60 |       -701 |     -2,262 |
| src/libc                                                           |         16 |      1,546 |         49 |        709 |      2,304 |
| src/libcpp                                                         |         16 |        220 |         23 |        104 |        347 |
| src/programming_libaries                                           |          9 |        130 |         15 |         44 |        189 |
| src/programming_libaries/c                                         |          9 |        130 |         15 |         44 |        189 |
| src/syscall                                                        |          3 |         12 |          4 |          8 |         24 |
| src/terminal                                                       |          4 |         28 |        -11 |         28 |         45 |
| src/test                                                           |          3 |         51 |          4 |         28 |         83 |
| src/xaninApps                                                      |         14 |         22 |          3 |         19 |         44 |
| src/xanin_info                                                     |          2 |         20 |          0 |         12 |         32 |
| src/xin_fs                                                         |          8 |        202 |          3 |        106 |        311 |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                           | language                | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| /home/witut/Desktop/xaninOS/README.md                              | Markdown                |         39 |          0 |         16 |         55 |
| /home/witut/Desktop/xaninOS/documentation/TODO.md                  | Markdown                |          7 |          0 |          5 |         12 |
| /home/witut/Desktop/xaninOS/documentation/disk_image.md            | Markdown                |         10 |          0 |          4 |         14 |
| /home/witut/Desktop/xaninOS/documentation/xanin_coding_style.md    | Markdown                |         39 |          0 |         17 |         56 |
| /home/witut/Desktop/xaninOS/programming_libaries/xanin_asm.inc     | x86 and x86_64 Assembly |          6 |          0 |          3 |          9 |
| /home/witut/Desktop/xaninOS/src/.build.sh                          | Shell Script            |        -46 |         -7 |        -23 |        -76 |
| /home/witut/Desktop/xaninOS/src/IDT/idt.c                          | C                       |          7 |          1 |          2 |         10 |
| /home/witut/Desktop/xaninOS/src/Makefile                           | Makefile                |         60 |         -1 |         23 |         82 |
| /home/witut/Desktop/xaninOS/src/app_config.h                       | C++                     |         33 |          1 |          3 |         37 |
| /home/witut/Desktop/xaninOS/src/boot/boot.asm                      | x86 and x86_64 Assembly |          2 |          0 |          0 |          2 |
| /home/witut/Desktop/xaninOS/src/devices/COM/com.cpp                | C++                     |         61 |          0 |         24 |         85 |
| /home/witut/Desktop/xaninOS/src/devices/COM/com.hpp                | C++                     |         21 |          0 |         14 |         35 |
| /home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.cpp          | C++                     |          0 |         -5 |         -2 |         -7 |
| /home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.h            | C++                     |          1 |          0 |          0 |          1 |
| /home/witut/Desktop/xaninOS/src/devices/NIC/8254x.cpp              | C++                     |         88 |         17 |         53 |        158 |
| /home/witut/Desktop/xaninOS/src/devices/NIC/8254x.hpp              | C++                     |        126 |          1 |         38 |        165 |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.c                  | C                       |         82 |          0 |         57 |        139 |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.h                  | C++                     |         10 |          0 |         13 |         23 |
| /home/witut/Desktop/xaninOS/src/graphics/graphics.cpp              | C++                     |          0 |          0 |         -1 |         -1 |
| /home/witut/Desktop/xaninOS/src/graphics/graphics.hpp              | C++                     |          0 |          0 |         -1 |         -1 |
| /home/witut/Desktop/xaninOS/src/gyn_cl/gyn.c                       | C                       |         41 |          4 |         20 |         65 |
| /home/witut/Desktop/xaninOS/src/gyn_cl/gyn.h                       | C++                     |          8 |          0 |          6 |         14 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.c                | C                       |          1 |          2 |          3 |          6 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.h                | C++                     |          1 |          0 |          1 |          2 |
| /home/witut/Desktop/xaninOS/src/kernel.c                           | C                       |         44 |         16 |         33 |         93 |
| /home/witut/Desktop/xaninOS/src/lib/algorithm.h                    | C++                     |        -18 |          0 |         -7 |        -25 |
| /home/witut/Desktop/xaninOS/src/lib/alloc.h                        | C++                     |        -95 |        -10 |        -40 |       -145 |
| /home/witut/Desktop/xaninOS/src/lib/assert.h                       | C++                     |        -11 |          0 |         -4 |        -15 |
| /home/witut/Desktop/xaninOS/src/lib/clock.h                        | C++                     |         -3 |          0 |         -5 |         -8 |
| /home/witut/Desktop/xaninOS/src/lib/colors.h                       | C++                     |        -21 |         -1 |         -8 |        -30 |
| /home/witut/Desktop/xaninOS/src/lib/enable_sse.asm                 | x86 and x86_64 Assembly |         -8 |          0 |         -3 |        -11 |
